year,anomaly,station_name,station_number,latitude,longitude
2010,0.218885045,Adelaide,23000,-34.93,138.58
2011,0.470456346,Adelaide,23000,-34.93,138.58
2012,0.256577698,Adelaide,23000,-34.93,138.58
2013,1.02879736,Adelaide,23000,-34.93,138.58
2014,0.879409559,Adelaide,23000,-34.93,138.58
2015,0.526893172,Adelaide,23000,-34.93,138.58
2016,0.283101293,Adelaide,23000,-34.93,138.58
2017,0.773557665,Adelaide,23000,-34.93,138.58
2018,0.912376381,Adelaide,23000,-34.93,138.58
2019,0.721912759,Adelaide,23000,-34.93,138.58
2020,-0.008894752,Adelaide,23000,-34.93,138.58
2021,-0.090845177,Adelaide,23000,-34.93,138.58
2022,0.116272398,Adelaide,23000,-34.93,138.58
2023,0.160834824,Adelaide,23000,-34.93,138.58
1910,-0.532364098,Albany,9999,-34.94,117.82
1911,-0.510483092,Albany,9999,-34.94,117.82
1912,-0.582754917,Albany,9999,-34.94,117.82
1913,-0.487186086,Albany,9999,-34.94,117.82
1914,-0.074761766,Albany,9999,-34.94,117.82
1915,0.205558365,Albany,9999,-34.94,117.82
1916,-0.821714729,Albany,9999,-34.94,117.82
1917,-1.309348468,Albany,9999,-34.94,117.82
1918,-0.060710884,Albany,9999,-34.94,117.82
1919,-0.905963442,Albany,9999,-34.94,117.82
1920,-0.35406742,Albany,9999,-34.94,117.82
1921,0.121620723,Albany,9999,-34.94,117.82
1922,-1.199781276,Albany,9999,-34.94,117.82
1923,-0.796339467,Albany,9999,-34.94,117.82
1924,-1.068849575,Albany,9999,-34.94,117.82
1925,-0.557657796,Albany,9999,-34.94,117.82
1926,-0.861848939,Albany,9999,-34.94,117.82
1927,-0.749094346,Albany,9999,-34.94,117.82
1928,-0.8768788,Albany,9999,-34.94,117.82
1929,-1.180962433,Albany,9999,-34.94,117.82
1930,-0.264479309,Albany,9999,-34.94,117.82
1931,-1.025486292,Albany,9999,-34.94,117.82
1932,-0.608513333,Albany,9999,-34.94,117.82
1933,-0.314250373,Albany,9999,-34.94,117.82
1934,-0.228560409,Albany,9999,-34.94,117.82
1935,-1.131614364,Albany,9999,-34.94,117.82
1936,-0.411605194,Albany,9999,-34.94,117.82
1937,-0.49909156,Albany,9999,-34.94,117.82
1938,-1.027606635,Albany,9999,-34.94,117.82
1939,-0.596061369,Albany,9999,-34.94,117.82
1940,-0.358440688,Albany,9999,-34.94,117.82
1941,-0.645850939,Albany,9999,-34.94,117.82
1942,-0.767434097,Albany,9999,-34.94,117.82
1943,-0.959193089,Albany,9999,-34.94,117.82
1944,-0.443854577,Albany,9999,-34.94,117.82
1945,-0.150758949,Albany,9999,-34.94,117.82
1946,-0.81120561,Albany,9999,-34.94,117.82
1947,-0.619568396,Albany,9999,-34.94,117.82
1948,-0.183669834,Albany,9999,-34.94,117.82
1949,-0.00228207,Albany,9999,-34.94,117.82
1950,-0.164299443,Albany,9999,-34.94,117.82
1951,-0.61606023,Albany,9999,-34.94,117.82
1952,-0.978046765,Albany,9999,-34.94,117.82
1953,-0.637656465,Albany,9999,-34.94,117.82
1954,-0.383459006,Albany,9999,-34.94,117.82
1955,-0.832843305,Albany,9999,-34.94,117.82
1956,-0.75938012,Albany,9999,-34.94,117.82
1957,0.100551477,Albany,9999,-34.94,117.82
1958,-0.078032782,Albany,9999,-34.94,117.82
1959,0.106877739,Albany,9999,-34.94,117.82
1960,-1.327642767,Albany,9999,-34.94,117.82
1961,0.442684415,Albany,9999,-34.94,117.82
1962,0.144470505,Albany,9999,-34.94,117.82
1963,0.272211907,Albany,9999,-34.94,117.82
1964,-0.772928025,Albany,9999,-34.94,117.82
1965,-0.123608637,Albany,9999,-34.94,117.82
1966,-0.43011669,Albany,9999,-34.94,117.82
1967,0.063621185,Albany,9999,-34.94,117.82
1968,-0.976017967,Albany,9999,-34.94,117.82
1969,-0.061341894,Albany,9999,-34.94,117.82
1970,-0.271147596,Albany,9999,-34.94,117.82
1971,-0.717399694,Albany,9999,-34.94,117.82
1972,0.380856028,Albany,9999,-34.94,117.82
1973,-0.487706274,Albany,9999,-34.94,117.82
1974,-0.096889048,Albany,9999,-34.94,117.82
1975,-0.141807657,Albany,9999,-34.94,117.82
1976,0.204020236,Albany,9999,-34.94,117.82
1977,0.028427559,Albany,9999,-34.94,117.82
1978,0.40361381,Albany,9999,-34.94,117.82
1979,-0.249103803,Albany,9999,-34.94,117.82
1980,-0.341984782,Albany,9999,-34.94,117.82
1981,-0.453303752,Albany,9999,-34.94,117.82
1982,-0.19857321,Albany,9999,-34.94,117.82
1983,0.613038094,Albany,9999,-34.94,117.82
1984,0.055447241,Albany,9999,-34.94,117.82
1985,0.009971401,Albany,9999,-34.94,117.82
1986,-0.685548179,Albany,9999,-34.94,117.82
1987,-0.162351051,Albany,9999,-34.94,117.82
1988,0.14725326,Albany,9999,-34.94,117.82
1989,0.087741435,Albany,9999,-34.94,117.82
1990,-0.404411663,Albany,9999,-34.94,117.82
1991,0.288272669,Albany,9999,-34.94,117.82
1992,-0.243653766,Albany,9999,-34.94,117.82
1993,-0.569352779,Albany,9999,-34.94,117.82
1994,0.430200152,Albany,9999,-34.94,117.82
1995,0.021315423,Albany,9999,-34.94,117.82
1996,0.025115236,Albany,9999,-34.94,117.82
1997,0.226705528,Albany,9999,-34.94,117.82
1998,-0.084687521,Albany,9999,-34.94,117.82
1999,0.322312287,Albany,9999,-34.94,117.82
2000,0.271224184,Albany,9999,-34.94,117.82
2001,-0.148916591,Albany,9999,-34.94,117.82
2002,0.036956656,Albany,9999,-34.94,117.82
2003,0.30094292,Albany,9999,-34.94,117.82
2004,-0.012330073,Albany,9999,-34.94,117.82
2005,-0.201955506,Albany,9999,-34.94,117.82
2006,-0.019077882,Albany,9999,-34.94,117.82
2007,0.219460905,Albany,9999,-34.94,117.82
2008,-0.098471311,Albany,9999,-34.94,117.82
2009,0.105201752,Albany,9999,-34.94,117.82
2010,0.089581232,Albany,9999,-34.94,117.82
2011,0.66235037,Albany,9999,-34.94,117.82
2012,0.744190907,Albany,9999,-34.94,117.82
2013,0.81642135,Albany,9999,-34.94,117.82
2014,0.757585265,Albany,9999,-34.94,117.82
2015,0.695905477,Albany,9999,-34.94,117.82
2016,-0.172264701,Albany,9999,-34.94,117.82
2017,0.04376407,Albany,9999,-34.94,117.82
2018,0.310931222,Albany,9999,-34.94,117.82
2019,0.459376461,Albany,9999,-34.94,117.82
2020,0.626586916,Albany,9999,-34.94,117.82
2021,0.512408038,Albany,9999,-34.94,117.82
2022,0.316577962,Albany,9999,-34.94,117.82
2023,0.607120791,Albany,9999,-34.94,117.82
